"time","status","width","height","size_mb","labels","path","error","source"
"2026-07-03 20:23:44","recycled","1080","960","15.503","crop_split|output_horizontal","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\90_待人工分类\裁剪分割待复核\001_千岛湖_待人工分类_裁剪分割__CV002_S001.mp4","","D:\Download\素材下载\团建视频\千岛湖-原视频素材\小红书补素材_20260701\千岛湖啤酒小镇\20250821-打卡千岛湖网红灯塔丨杭州淳安啤酒小镇.mp4"
"2026-07-03 20:23:44","recycled","1080","960","0.37","crop_split|output_horizontal","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\90_待人工分类\裁剪分割待复核\002_千岛湖_待人工分类_裁剪分割__CV002_S002.mp4","","D:\Download\素材下载\团建视频\千岛湖-原视频素材\小红书补素材_20260701\千岛湖啤酒小镇\20250821-打卡千岛湖网红灯塔丨杭州淳安啤酒小镇.mp4"
"2026-07-03 20:23:44","recycled","1080","960","0.472","crop_split|output_horizontal","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\90_待人工分类\裁剪分割待复核\003_千岛湖_待人工分类_裁剪分割__CV002_S003.mp4","","D:\Download\素材下载\团建视频\千岛湖-原视频素材\小红书补素材_20260701\千岛湖啤酒小镇\20250821-打卡千岛湖网红灯塔丨杭州淳安啤酒小镇.mp4"
"2026-07-03 20:23:44","recycled","1080","960","0.309","crop_split|output_horizontal","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\90_待人工分类\裁剪分割待复核\004_千岛湖_待人工分类_裁剪分割__CV002_S004.mp4","","D:\Download\素材下载\团建视频\千岛湖-原视频素材\小红书补素材_20260701\千岛湖啤酒小镇\20250821-打卡千岛湖网红灯塔丨杭州淳安啤酒小镇.mp4"
"2026-07-03 20:23:44","recycled","1080","960","0.374","crop_split|output_horizontal","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\90_待人工分类\裁剪分割待复核\005_千岛湖_待人工分类_裁剪分割__CV002_S005.mp4","","D:\Download\素材下载\团建视频\千岛湖-原视频素材\小红书补素材_20260701\千岛湖啤酒小镇\20250821-打卡千岛湖网红灯塔丨杭州淳安啤酒小镇.mp4"
"2026-07-03 20:23:44","recycled","1080","960","0.305","crop_split|output_horizontal","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\90_待人工分类\裁剪分割待复核\006_千岛湖_待人工分类_裁剪分割__CV002_S006.mp4","","D:\Download\素材下载\团建视频\千岛湖-原视频素材\小红书补素材_20260701\千岛湖啤酒小镇\20250821-打卡千岛湖网红灯塔丨杭州淳安啤酒小镇.mp4"
"2026-07-03 20:23:44","recycled","1080","960","0.327","crop_split|output_horizontal","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\90_待人工分类\裁剪分割待复核\007_千岛湖_待人工分类_裁剪分割__CV002_S007.mp4","","D:\Download\素材下载\团建视频\千岛湖-原视频素材\小红书补素材_20260701\千岛湖啤酒小镇\20250821-打卡千岛湖网红灯塔丨杭州淳安啤酒小镇.mp4"
"2026-07-03 20:23:45","recycled","1080","960","0.403","crop_split|output_horizontal","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\90_待人工分类\裁剪分割待复核\008_千岛湖_待人工分类_裁剪分割__CV002_S008.mp4","","D:\Download\素材下载\团建视频\千岛湖-原视频素材\小红书补素材_20260701\千岛湖啤酒小镇\20250821-打卡千岛湖网红灯塔丨杭州淳安啤酒小镇.mp4"
"2026-07-03 20:23:45","recycled","720","716","3.467","crop_split|output_horizontal","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\90_待人工分类\裁剪分割待复核\043_千岛湖_待人工分类_裁剪分割__CV007_S001.mp4","","D:\Download\素材下载\团建视频\千岛湖-原视频素材\小红书补素材_20260701\千岛湖景区接驳车\20250623-.mp4"
"2026-07-03 20:23:45","recycled","720","716","2.041","crop_split|output_horizontal","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\90_待人工分类\裁剪分割待复核\044_千岛湖_待人工分类_裁剪分割__CV007_S002.mp4","","D:\Download\素材下载\团建视频\千岛湖-原视频素材\小红书补素材_20260701\千岛湖景区接驳车\20250623-.mp4"
