"path","source_video","method","status","time"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景俯拍\003_千岛湖_千岛湖风景俯拍__S_V005_S003.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景俯拍\003_千岛湖_千岛湖风景俯拍__S_V005_S003.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:54"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景俯拍\004_千岛湖_千岛湖风景俯拍__S_V005_S004.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景俯拍\004_千岛湖_千岛湖风景俯拍__S_V005_S004.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:54"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景俯拍\005_千岛湖_千岛湖风景俯拍__A_V011_S002.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景俯拍\005_千岛湖_千岛湖风景俯拍__A_V011_S002.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\02_出发抵达\大巴集合出发\002_千岛湖_大巴集合出发__S_V003_S007.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\02_出发抵达\大巴集合出发\002_千岛湖_大巴集合出发__S_V003_S007.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\02_出发抵达\大巴集合出发\003_千岛湖_大巴集合出发__S_V005_S007.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\02_出发抵达\大巴集合出发\003_千岛湖_大巴集合出发__S_V005_S007.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\02_出发抵达\大巴集合出发\004_千岛湖_大巴集合出发__A_V011_S004.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\02_出发抵达\大巴集合出发\004_千岛湖_大巴集合出发__A_V011_S004.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\02_出发抵达\大巴集合出发\005_千岛湖_大巴集合出发__S_V011_S005.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\02_出发抵达\大巴集合出发\005_千岛湖_大巴集合出发__S_V011_S005.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\别墅KTV棋牌室\001_千岛湖_别墅KTV棋牌室__S_V003_S018.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\别墅KTV棋牌室\001_千岛湖_别墅KTV棋牌室__S_V003_S018.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\千岛湖鱼宴\002_千岛湖_千岛湖鱼宴__S_V005_S008.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\千岛湖鱼宴\002_千岛湖_千岛湖鱼宴__S_V005_S008.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\千岛湖鱼宴\003_千岛湖_千岛湖鱼宴__S_V005_S009.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\千岛湖鱼宴\003_千岛湖_千岛湖鱼宴__S_V005_S009.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\菜品餐桌\001_千岛湖_菜品餐桌__S_V003_S002.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\菜品餐桌\001_千岛湖_菜品餐桌__S_V003_S002.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\菜品餐桌\002_千岛湖_菜品餐桌__S_V003_S008.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\菜品餐桌\002_千岛湖_菜品餐桌__S_V003_S008.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\摩托艇\001_千岛湖_摩托艇__S_V005_S015.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\摩托艇\001_千岛湖_摩托艇__S_V005_S015.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\摩托艇\002_千岛湖_摩托艇__S_V005_S016.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\摩托艇\002_千岛湖_摩托艇__S_V005_S016.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\水上乐园\003_千岛湖_水上乐园__S_V003_S011.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\水上乐园\003_千岛湖_水上乐园__S_V003_S011.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\水上乐园\004_千岛湖_水上乐园__S_V005_S012.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\水上乐园\004_千岛湖_水上乐园__S_V005_S012.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\水上乐园\005_千岛湖_水上乐园__S_V005_S013.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\水上乐园\005_千岛湖_水上乐园__S_V005_S013.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\001_千岛湖_游艇游湖__S_V003_S003.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\001_千岛湖_游艇游湖__S_V003_S003.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\003_千岛湖_游艇游湖__A_V005_S017.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\003_千岛湖_游艇游湖__A_V005_S017.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:55"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\004_千岛湖_游艇游湖__A_V005_S018.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\004_千岛湖_游艇游湖__A_V005_S018.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:56"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\005_千岛湖_游艇游湖__B_V005_S019.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\005_千岛湖_游艇游湖__B_V005_S019.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:56"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\006_千岛湖_游艇游湖__A_V005_S020.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\006_千岛湖_游艇游湖__A_V005_S020.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:56"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\007_千岛湖_游艇游湖__B_V005_S021.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\游艇游湖\007_千岛湖_游艇游湖__B_V005_S021.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:56"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\湖边骑行\002_千岛湖_湖边骑行__S_V005_S028.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\湖边骑行\002_千岛湖_湖边骑行__S_V005_S028.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:56"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\湖边骑行\003_千岛湖_湖边骑行__S_V005_S029.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\湖边骑行\003_千岛湖_湖边骑行__S_V005_S029.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:56"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\06_团队互动\团队合照\001_千岛湖_团队合照__S_V005_S030.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\06_团队互动\团队合照\001_千岛湖_团队合照__S_V005_S030.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:56"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\06_团队互动\团队合照\002_千岛湖_团队合照__S_V005_S031.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\06_团队互动\团队合照\002_千岛湖_团队合照__S_V005_S031.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:56"
"D:\Download\素材下载\团建视频\千岛湖智能镜头分类\07_烧烤露营夜场\烧烤\003_千岛湖_烧烤__S_V003_S024.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\07_烧烤露营夜场\烧烤\003_千岛湖_烧烤__S_V003_S024.mp4","recycle","deleted_to_recycle","2026-07-03T21:40:56"
