library,path,relative_path,width,height,duration,size_mb,mtime
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景俯拍\003_千岛湖_千岛湖风景俯拍__S_V005_S003.mp4,01_环境空镜\千岛湖风景俯拍\003_千岛湖_千岛湖风景俯拍__S_V005_S003.mp4,720,552,3.5,0.276,2026-07-03T14:00:13
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景俯拍\004_千岛湖_千岛湖风景俯拍__S_V005_S004.mp4,01_环境空镜\千岛湖风景俯拍\004_千岛湖_千岛湖风景俯拍__S_V005_S004.mp4,720,560,3.0,0.397,2026-07-03T14:00:24
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景俯拍\005_千岛湖_千岛湖风景俯拍__A_V011_S002.mp4,01_环境空镜\千岛湖风景俯拍\005_千岛湖_千岛湖风景俯拍__A_V011_S002.mp4,1080,950,1.1,0.148,2026-07-03T14:00:30
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\02_出发抵达\大巴集合出发\002_千岛湖_大巴集合出发__S_V003_S007.mp4,02_出发抵达\大巴集合出发\002_千岛湖_大巴集合出发__S_V003_S007.mp4,720,594,1.4,0.358,2026-07-03T14:00:37
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\02_出发抵达\大巴集合出发\003_千岛湖_大巴集合出发__S_V005_S007.mp4,02_出发抵达\大巴集合出发\003_千岛湖_大巴集合出发__S_V005_S007.mp4,720,444,2.767,0.356,2026-07-03T14:00:41
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\02_出发抵达\大巴集合出发\004_千岛湖_大巴集合出发__A_V011_S004.mp4,02_出发抵达\大巴集合出发\004_千岛湖_大巴集合出发__A_V011_S004.mp4,1080,780,2.4,1.035,2026-07-03T14:00:47
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\02_出发抵达\大巴集合出发\005_千岛湖_大巴集合出发__S_V011_S005.mp4,02_出发抵达\大巴集合出发\005_千岛湖_大巴集合出发__S_V011_S005.mp4,1080,1048,1.7,0.608,2026-07-03T14:00:50
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\别墅KTV棋牌室\001_千岛湖_别墅KTV棋牌室__S_V003_S018.mp4,03_住宿空间\别墅KTV棋牌室\001_千岛湖_别墅KTV棋牌室__S_V003_S018.mp4,720,590,2.0,0.345,2026-07-03T14:00:53
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\千岛湖鱼宴\002_千岛湖_千岛湖鱼宴__S_V005_S008.mp4,04_餐饮美食\千岛湖鱼宴\002_千岛湖_千岛湖鱼宴__S_V005_S008.mp4,720,458,1.867,0.165,2026-07-03T14:01:18
D:\Download\素材下载\团建视频\千岛湖智能镜头分类,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\04_餐饮美食\千岛湖鱼宴\003_千岛湖_千岛湖鱼宴__S_V005_S009.mp4,04_餐饮美食\千岛湖鱼宴\003_千岛湖_千岛湖鱼宴__S_V005_S009.mp4,720,548,1.4,0.123,2026-07-03T14:01:19
