"name","output","confidence","rect","reason"
"041_千岛湖_环境空镜_裁剪分割__CV006_S002.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\裁切废料\041_千岛湖_环境空镜_裁剪分割__CV006_S002__裁切废料.mp4","0.95","@{x=0; y=10.454; w=100; h=60.053}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=10.5% h=60.1%（含黑边检测）"
"042_千岛湖_环境空镜_裁剪分割__CV006_S003.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\裁切废料\042_千岛湖_环境空镜_裁剪分割__CV006_S003__裁切废料.mp4","0.95","@{x=0; y=17.91; w=100; h=63.045}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=63.0%（含黑边检测）"
"001_千岛湖_千岛湖风景__S_V003_S006.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景\裁切废料\001_千岛湖_千岛湖风景__S_V003_S006__裁切废料.mp4","0.58","@{x=0; y=0.0; w=100; h=80.531}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=80.5%（含黑边检测）"
"002_千岛湖_千岛湖风景__S_V003_S028.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景\裁切废料\002_千岛湖_千岛湖风景__S_V003_S028__裁切废料.mp4","0.9","@{x=0; y=0.0; w=100; h=79.196}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=79.2%（含黑边检测）"
"004_千岛湖_千岛湖风景__S_V003_S031.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景\裁切废料\004_千岛湖_千岛湖风景__S_V003_S031__裁切废料.mp4","0.95","@{x=0; y=17.891; w=100; h=62.507}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=62.5%（含黑边检测）"
"005_千岛湖_千岛湖风景__S_V003_S032.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景\裁切废料\005_千岛湖_千岛湖风景__S_V003_S032__裁切废料.mp4","0.9","@{x=0; y=0.0; w=100; h=80.264}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=80.3%（含黑边检测）"
"001_千岛湖_大巴集合出发__S_V003_S001.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\02_出发抵达\大巴集合出发\裁切废料\001_千岛湖_大巴集合出发__S_V003_S001__裁切废料.mp4","0.58","@{x=0; y=13.143; w=100; h=59.766}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=13.1% h=59.8%（含黑边检测）"
"070_千岛湖_住宿空间_裁剪分割__CV016_S008.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\070_千岛湖_住宿空间_裁剪分割__CV016_S008__裁切废料.mp4","0.95","@{x=0; y=11.052; w=100; h=63.395}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=11.1% h=63.4%（含黑边检测）"
"071_千岛湖_住宿空间_裁剪分割__CV016_S009.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\071_千岛湖_住宿空间_裁剪分割__CV016_S009__裁切废料.mp4","0.86","@{x=0; y=17.898; w=100; h=56.713}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=56.7%（含黑边检测）"
"072_千岛湖_住宿空间_裁剪分割__CV016_S010.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\072_千岛湖_住宿空间_裁剪分割__CV016_S010__裁切废料.mp4","0.95","@{x=0; y=17.898; w=100; h=56.713}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=56.7%（含黑边检测）"
"073_千岛湖_住宿空间_裁剪分割__CV016_S011.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\073_千岛湖_住宿空间_裁剪分割__CV016_S011__裁切废料.mp4","0.95","@{x=0; y=4.648; w=100; h=70.127}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=4.6% h=70.1%（含黑边检测）"
"074_千岛湖_住宿空间_裁剪分割__CV016_S012.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\074_千岛湖_住宿空间_裁剪分割__CV016_S012__裁切废料.mp4","0.95","@{x=0; y=12.53; w=100; h=62.081}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=12.5% h=62.1%（含黑边检测）"
