name,output,confidence,reason,check_frame
001_千岛湖_千岛湖风景__S_V003_S006.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景\裁切废料\001_千岛湖_千岛湖风景__S_V003_S006__裁切废料.mp4,0.58,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=80.5%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0003.jpg
002_千岛湖_千岛湖风景__S_V003_S028.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景\裁切废料\002_千岛湖_千岛湖风景__S_V003_S028__裁切废料.mp4,0.9,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=79.2%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0004.jpg
005_千岛湖_千岛湖风景__S_V003_S032.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\01_环境空镜\千岛湖风景\裁切废料\005_千岛湖_千岛湖风景__S_V003_S032__裁切废料.mp4,0.9,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=80.3%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0006.jpg
071_千岛湖_住宿空间_裁剪分割__CV016_S009.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\071_千岛湖_住宿空间_裁剪分割__CV016_S009__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=56.7%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0009.jpg
072_千岛湖_住宿空间_裁剪分割__CV016_S010.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\072_千岛湖_住宿空间_裁剪分割__CV016_S010__裁切废料.mp4,0.95,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=56.7%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0010.jpg
073_千岛湖_住宿空间_裁剪分割__CV016_S011.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\073_千岛湖_住宿空间_裁剪分割__CV016_S011__裁切废料.mp4,0.95,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=4.6% h=70.1%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0011.jpg
074_千岛湖_住宿空间_裁剪分割__CV016_S012.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\074_千岛湖_住宿空间_裁剪分割__CV016_S012__裁切废料.mp4,0.95,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=12.5% h=62.1%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0012.jpg
075_千岛湖_住宿空间_裁剪分割__CV016_S013.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\075_千岛湖_住宿空间_裁剪分割__CV016_S013__裁切废料.mp4,0.7,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=5.3% h=69.4%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0013.jpg
078_千岛湖_住宿空间_裁剪分割__CV016_S016.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\078_千岛湖_住宿空间_裁剪分割__CV016_S016__裁切废料.mp4,0.58,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=74.6%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0016.jpg
080_千岛湖_住宿空间_裁剪分割__CV016_S018.mp4,D:\Download\素材下载\团建视频\千岛湖智能镜头分类\03_住宿空间\裁切废料\080_千岛湖_住宿空间_裁剪分割__CV016_S018__裁切废料.mp4,0.86,裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=7.9% h=64.4%（含黑边检测）,C:\Users\z\AppData\Local\Temp\scene_title_check_5rhmyk87\0018.jpg
